name,owner,stars,age_days,merged_prs,total_releases,days_since_update,primary_language,total_issues,closed_issues,closed_issues_ratio,url,description
NextChat,ChatGPTNextWeb,85602,896,889,77,0,TypeScript,3547,2888,81.42091908655202,https://github.com/ChatGPTNextWeb/NextChat,✨ Light and Fast AI Assistant. Support: Web | iOS | MacOS | Android |  Linux | Windows
v2rayN,2dust,85420,2216,273,265,0,C#,6024,6020,99.933598937583,https://github.com/2dust/v2rayN,"A GUI client for Windows, Linux and macOS, support Xray and sing-box and others"
llama.cpp,ggml-org,85374,896,5531,1000,0,C++,5720,5381,94.07342657342657,https://github.com/ggml-org/llama.cpp,LLM inference in C/C++
bitcoin,bitcoin,85163,5361,15518,56,0,C++,8687,8276,95.26879244848624,https://github.com/bitcoin/bitcoin,Bitcoin Core integration/staging tree
app-ideas,florinpop17,84967,2370,149,0,0,Unknown,170,44,25.882352941176475,https://github.com/florinpop17/app-ideas,A Collection of application ideas which can be used to improve your coding skills.
django,django,84657,4865,9861,0,0,Python,0,0,0,https://github.com/django/django,The Web framework for perfectionists with deadlines.
svelte,sveltejs,83833,3197,5991,510,0,JavaScript,8499,7685,90.42240263560419,https://github.com/sveltejs/svelte,web development for the rest of us
gin,gin-gonic,83689,4085,1114,27,0,Go,2348,1680,71.55025553662692,https://github.com/gin-gonic/gin,"Gin is a HTTP web framework written in Go (Golang). It features a Martini-like API with much better performance -- up to 40 times faster. If you need smashing performance, get yourself some Gin."
opencv,opencv,83655,4783,13085,66,0,C++,11236,8632,76.82449270202919,https://github.com/opencv/opencv,Open Source Computer Vision Library
hugo,gohugoio,83030,4433,2960,337,0,Go,7800,7362,94.38461538461539,https://github.com/gohugoio/hugo,The world’s fastest framework for building websites.
mermaid,mermaid-js,82339,3947,2440,164,0,TypeScript,3371,2098,62.2367250074162,https://github.com/mermaid-js/mermaid,Generation of diagrams like flowcharts or sequence diagrams from text in a similar manner as markdown
